,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,location,language,profileImageURL
484,@Ligia1712M ��good night &amp; sleep tight�� https://t.co/MpW1EKoVsk,FALSE,3,Ligia1712M,2018-04-08 4:53:59,FALSE,982838751788523521,982843980411883521,2716131271,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",kousama2016,2,FALSE,FALSE,NA,NA,"Tokyo, Japan",ja,http://pbs.twimg.com/profile_images/754302463394521090/I5-3MGlt_normal.jpg
485,"RT @kookceptional: [trans]
Q: What fashion items do you own the most?
JM: Blue denim jackets, hoodies and hooded clothes, and long T-shirts…",FALSE,0,NA,2018-04-08 4:53:22,FALSE,NA,982843821494030336,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Survi_Shrestha,3665,TRUE,FALSE,NA,NA,Nepal,en-gb,http://pbs.twimg.com/profile_images/982280070546018305/hJiEc-VD_normal.jpg
486,"RT @kookceptional: [trans]
Q: What fashion items do you own the most?
JM: Blue denim jackets, hoodies and hooded clothes, and long T-shirts…",FALSE,0,NA,2018-04-08 4:39:23,FALSE,NA,982840303886286848,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",_xYUUIx_,3665,TRUE,FALSE,NA,NA,Singapore,en,http://pbs.twimg.com/profile_images/3703168604/410aeee401448749aadb6ab2e2be5a35_normal.jpeg
487,"RT @kookceptional: [trans]
Q: What fashion items do you own the most?
JM: Blue denim jackets, hoodies and hooded clothes, and long T-shirts…",FALSE,0,NA,2018-04-08 4:39:01,FALSE,NA,982840212886716416,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",dandan_noods,3665,TRUE,FALSE,NA,NA,,en,http://pbs.twimg.com/profile_images/982000991770787841/ayX_3uSH_normal.jpg
488,"RT @kookceptional: [trans]
Q: What fashion items do you own the most?
JM: Blue denim jackets, hoodies and hooded clothes, and long T-shirts…",FALSE,0,NA,2018-04-08 4:29:54,FALSE,NA,982837918086512640,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",manggaemiin,3665,TRUE,FALSE,NA,NA,✨ with jimin ✨,en-gb,http://pbs.twimg.com/profile_images/982509602985029632/_maXvnLu_normal.jpg
489,"RT @kookceptional: [trans]
Q: What fashion items do you own the most?
JM: Blue denim jackets, hoodies and hooded clothes, and long T-shirts…",FALSE,0,NA,2018-04-08 4:25:37,FALSE,NA,982836839487889408,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JinMyDarling,3665,TRUE,FALSE,NA,NA,,en,http://pbs.twimg.com/profile_images/981996663874220032/6N2IQCM9_normal.jpg
490,RT @punk_geisha: @morningpassages @weareoneEXO Lets ask the other EXO L accounts from other countries- MOST in asia right now are gonna sle…,FALSE,0,NA,2018-04-08 4:04:29,FALSE,NA,982831520183283712,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",monodrama07,20,TRUE,FALSE,NA,NA,,zh-CN,http://pbs.twimg.com/profile_images/982564379282391040/gdtcByPG_normal.jpg
491,RT @punk_geisha: @exouniversetr @weareoneEXO Hi Unnies pls help retweet and share this tag #6YearsWithEXO so we can keep it in top. Asian U…,FALSE,0,NA,2018-04-08 4:04:13,FALSE,NA,982831455951728641,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",monodrama07,1,TRUE,FALSE,NA,NA,,zh-CN,http://pbs.twimg.com/profile_images/982564379282391040/gdtcByPG_normal.jpg
492,"RT @kookceptional: [trans]
Q: What fashion items do you own the most?
JM: Blue denim jackets, hoodies and hooded clothes, and long T-shirts…",FALSE,0,NA,2018-04-08 3:58:12,FALSE,NA,982829940398854144,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",morejellies,3665,TRUE,FALSE,NA,NA,probably in namjoons pa- heart,en,http://pbs.twimg.com/profile_images/960565205192335361/kbMBbrZj_normal.jpg
493,"RT @kookceptional: [trans]
Q: What fashion items do you own the most?
JM: Blue denim jackets, hoodies and hooded clothes, and long T-shirts…",FALSE,0,NA,2018-04-08 3:55:07,FALSE,NA,982829165958266880,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",stobjeon_,3665,TRUE,FALSE,NA,NA,����,en,http://pbs.twimg.com/profile_images/983994500677849089/x7RaOoYk_normal.jpg
494,"RT @kookceptional: [trans]
Q: What fashion items do you own the most?
JM: Blue denim jackets, hoodies and hooded clothes, and long T-shirts…",FALSE,0,NA,2018-04-08 3:54:40,FALSE,NA,982829051936063488,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jamdahxos,3665,TRUE,FALSE,NA,NA,,en,http://pbs.twimg.com/profile_images/830376115134820352/QDjHTfNe_normal.jpg
495,"RT @chococoffeebeat: So much JJP cuteness�� MarkBum kicking each other under the covers���� That weird but apparently tasty ASMR����
Sleep well✨…",FALSE,0,NA,2018-04-08 3:53:33,FALSE,NA,982828769768439808,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",fahsptd,7,TRUE,FALSE,NA,NA,,en,http://pbs.twimg.com/profile_images/891600095191252992/v82MqdxZ_normal.jpg
496,"RT @kookceptional: [trans]
Q: What fashion items do you own the most?
JM: Blue denim jackets, hoodies and hooded clothes, and long T-shirts…",FALSE,0,NA,2018-04-08 3:52:24,FALSE,NA,982828482617946112,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",caringseoul,3665,TRUE,FALSE,NA,NA,utopia ,en,http://pbs.twimg.com/profile_images/981913740512645121/6KRHsHgC_normal.jpg
497,"RT @kookceptional: [trans]
Q: What fashion items do you own the most?
JM: Blue denim jackets, hoodies and hooded clothes, and long T-shirts…",FALSE,0,NA,2018-04-08 3:51:32,FALSE,NA,982828261213433856,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",kaosatama,3665,TRUE,FALSE,NA,NA,TARDIS,en,http://pbs.twimg.com/profile_images/832431947993513986/IYvaH4aS_normal.jpg
498,"RT @kookceptional: [trans]
Q: What fashion items do you own the most?
JM: Blue denim jackets, hoodies and hooded clothes, and long T-shirts…",FALSE,0,NA,2018-04-08 3:50:01,FALSE,NA,982827882593435648,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jeonjuseyo,3665,TRUE,FALSE,NA,NA,��#topkook #bttmjimin only!!,en,http://pbs.twimg.com/profile_images/980497743834529793/nkRPEMxO_normal.jpg
499,"RT @kookceptional: [trans]
Q: What fashion items do you own the most?
JM: Blue denim jackets, hoodies and hooded clothes, and long T-shirts…",FALSE,0,NA,2018-04-08 3:47:45,FALSE,NA,982827312138813440,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",blueandgreenaf,3665,TRUE,FALSE,NA,NA,Louis || Yoongi,en,http://pbs.twimg.com/profile_images/980137790045376512/VZ_EnD5-_normal.jpg
